Group 1
+--------------------------------------------------------------------------------------------+------------------------------+
|                                           Smile                                            |            Masses            |
|               C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3cccs3                |    ('M-H', 353.169308452)    |
|               C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3cccs3                |   ('M+Br', 433.095469452)    |
|               C/C(=C/c1ccccc1)/CN(CC2CCNCC2)C(=O)c3cccs3                |   ('M+Cl', 389.145986452)    |
|                   C/C(=C\C(=O)O)/c1cc(c(c(c1)OC)OC)OC                   |     ('M', 252.099773612)     |
|                   C/C(=C\C(=O)O)/c1cc(c(c(c1)OC)OC)OC                   |    ('M+H', 253.107049612)    |
|                   C/C(=C\C(=O)O)/c1cc(c(c(c1)OC)OC)OC                   | ('M+Na', 275.08899161200003) |
|                   C/C(=C\C(=O)O)/c1cc(c(c(c1)OC)OC)OC                   |    ('M+K', 291.062931612)    |
|                   C/C(=C\C(=O)O)/c1cc(c(c(c1)OC)OC)OC                   |   ('M+NH4', 270.133596612)   |
|                   C/C(=C\C(=O)O)/c1cc(c(c(c1)OC)OC)OC                   |    ('M-H', 251.092497612)    |
|                   C/C(=C\C(=O)O)/c1cc(c(c(c1)OC)OC)OC                   |   ('M+Br', 331.018658612)    |
|                   C/C(=C\C(=O)O)/c1cc(c(c(c1)OC)OC)OC                   |   ('M+Cl', 287.069175612)    |
|            C/C=C\c1ccc(c(c1)OC)OCCOC(=O)Nc2cc(c(cc2OC)OC)Cl             |   ('M', 421.1292151679999)   |
|            C/C=C\c1ccc(c(c1)OC)OCCOC(=O)Nc2cc(c(cc2OC)OC)Cl             |  ('M+H', 422.1364911679999)  |
|            C/C=C\c1ccc(c(c1)OC)OCCOC(=O)Nc2cc(c(cc2OC)OC)Cl             | ('M+Na', 444.1184331679999)  |
|            C/C=C\c1ccc(c(c1)OC)OCCOC(=O)Nc2cc(c(cc2OC)OC)Cl             |    ('M+K', 460.092373168)    |
|            C/C=C\c1ccc(c(c1)OC)OCCOC(=O)Nc2cc(c(cc2OC)OC)Cl             | ('M+NH4', 439.1630381679999) |
|            C/C=C\c1ccc(c(c1)OC)OCCOC(=O)Nc2cc(c(cc2OC)OC)Cl             |  ('M-H', 420.1219391679999)  |
|            C/C=C\c1ccc(c(c1)OC)OCCOC(=O)Nc2cc(c(cc2OC)OC)Cl             | ('M+Br', 500.0481001679999)  |
|            C/C=C\c1ccc(c(c1)OC)OCCOC(=O)Nc2cc(c(cc2OC)OC)Cl             | ('M+Cl', 456.0986171679999)  |
|        C1CCc2c(c3c(nc(nc3s2)CN4CCOCC4)N5CCN(CC5)C(=O)C6CCCO6)C1         |     ('M', 471.230410916)     |
|        C1CCc2c(c3c(nc(nc3s2)CN4CCOCC4)N5CCN(CC5)C(=O)C6CCCO6)C1         |    ('M+H', 472.237686916)    |
|        C1CCc2c(c3c(nc(nc3s2)CN4CCOCC4)N5CCN(CC5)C(=O)C6CCCO6)C1         |   ('M+Na', 494.219628916)    |
